average;date;moneyPercent
5581;08.01.2013 10:01:00;0.0
5652;08.01.2013 11:12:00;-0.01
5668;08.01.2013 11:28:00;-0.02
5702;08.01.2013 12:02:00;-0.02
5704;08.01.2013 12:04:00;-0.02
5705;08.01.2013 12:05:00;-0.03
5708;08.01.2013 12:08:00;-0.03
5709;08.01.2013 12:09:00;-0.03
5716;08.01.2013 12:16:00;-0.03
5789;08.01.2013 13:29:00;-0.02
5845;08.01.2013 14:25:00;0.0
5861;08.01.2013 14:41:00;-0.01
5882;08.01.2013 15:02:00;0.01
5893;08.01.2013 15:13:00;-0.01
5919;08.01.2013 15:39:00;-0.01
5927;08.01.2013 15:47:00;-0.01
5961;08.01.2013 16:21:00;0.01
5982;08.01.2013 16:42:00;0.0
5985;08.01.2013 16:45:00;0.01
6005;08.01.2013 17:05:00;0.02
6007;08.01.2013 17:07:00;0.02
6014;08.01.2013 17:14:00;0.03
6035;08.01.2013 17:35:00;0.04
6062;08.01.2013 18:02:00;0.04
6071;08.01.2013 18:11:00;0.05
6081;08.01.2013 18:21:00;0.06
6084;08.01.2013 18:24:00;0.07
6092;08.01.2013 18:32:00;0.06
6098;08.01.2013 18:38:00;0.07
6121;08.01.2013 19:01:00;0.07
6125;08.01.2013 19:05:00;0.06
6133;08.01.2013 19:13:00;0.06
6138;08.01.2013 19:18:00;0.06
6145;08.01.2013 19:25:00;0.06
6161;08.01.2013 19:41:00;0.05
6223;08.01.2013 20:43:00;0.06
6224;08.01.2013 20:44:00;0.05
6226;08.01.2013 20:46:00;0.06
6228;08.01.2013 20:48:00;0.05
6231;08.01.2013 20:51:00;0.05
6235;08.01.2013 20:55:00;0.07
6271;08.01.2013 21:31:00;0.07
6274;08.01.2013 21:34:00;0.06
6275;08.01.2013 21:35:00;0.06
6284;08.01.2013 21:44:00;0.08
6333;08.01.2013 22:33:00;0.09
6339;08.01.2013 22:39:00;0.08
6340;08.01.2013 22:40:00;0.08
6371;08.01.2013 23:11:00;0.09
6410;08.01.2013 23:50:00;0.09
6411;09.01.2013 10:01:00;0.09
6412;09.01.2013 10:02:00;0.08
6414;09.01.2013 10:04:00;0.07
6415;09.01.2013 10:05:00;0.04
6416;09.01.2013 10:06:00;0.03
6489;09.01.2013 11:19:00;0.04
6507;09.01.2013 11:37:00;0.05
6562;09.01.2013 12:32:00;0.05
6592;09.01.2013 13:02:00;0.05
6599;09.01.2013 13:09:00;0.05
6622;09.01.2013 13:32:00;0.04
6623;09.01.2013 13:33:00;0.04
6664;09.01.2013 14:14:00;0.03
6686;09.01.2013 14:36:00;0.03
6691;09.01.2013 14:41:00;0.03
6700;09.01.2013 14:50:00;0.05
6716;09.01.2013 15:06:00;0.07
6739;09.01.2013 15:29:00;0.09
6751;09.01.2013 15:41:00;0.09
6753;09.01.2013 15:43:00;0.08
6759;09.01.2013 15:49:00;0.08
6762;09.01.2013 15:52:00;0.08
6768;09.01.2013 15:58:00;0.08
6772;09.01.2013 16:02:00;0.08
6773;09.01.2013 16:03:00;0.08
6778;09.01.2013 16:08:00;0.07
6794;09.01.2013 16:24:00;0.07
6806;09.01.2013 16:36:00;0.06
6817;09.01.2013 16:47:00;0.07
6826;09.01.2013 16:56:00;0.07
6827;09.01.2013 16:57:00;0.07
6836;09.01.2013 17:06:00;0.06
6837;09.01.2013 17:07:00;0.12
6843;09.01.2013 17:13:00;0.12
6845;09.01.2013 17:15:00;0.11
6849;09.01.2013 17:19:00;0.11
6852;09.01.2013 17:22:00;0.11
6870;09.01.2013 17:40:00;0.11
6877;09.01.2013 17:47:00;0.1
6880;09.01.2013 17:50:00;0.1
6889;09.01.2013 17:59:00;0.09
6900;09.01.2013 18:10:00;0.09
6904;09.01.2013 18:14:00;0.08
6910;09.01.2013 18:20:00;0.07
6913;09.01.2013 18:23:00;0.07
6928;09.01.2013 18:38:00;0.07
6951;09.01.2013 19:01:00;0.05
6960;09.01.2013 19:10:00;0.04
6961;09.01.2013 19:11:00;0.05
6963;09.01.2013 19:13:00;0.08
6967;09.01.2013 19:17:00;0.08
6970;09.01.2013 19:20:00;0.07
6972;09.01.2013 19:22:00;0.06
6975;09.01.2013 19:25:00;0.07
6980;09.01.2013 19:30:00;0.08
7006;09.01.2013 19:56:00;0.1
7101;09.01.2013 21:31:00;0.11
7140;09.01.2013 22:10:00;0.12
7178;09.01.2013 22:48:00;0.12
7183;09.01.2013 22:53:00;0.12
7215;09.01.2013 23:25:00;0.12
7229;09.01.2013 23:39:00;0.13
7253;10.01.2013 10:13:00;0.12
7301;10.01.2013 11:01:00;0.12
7303;10.01.2013 11:03:00;0.13
7310;10.01.2013 11:10:00;0.13
7317;10.01.2013 11:17:00;0.12
7322;10.01.2013 11:22:00;0.11
7328;10.01.2013 11:28:00;0.1
7330;10.01.2013 11:30:00;0.09
7391;10.01.2013 12:31:00;0.09
7412;10.01.2013 12:52:00;0.09
7427;10.01.2013 13:07:00;0.09
7448;10.01.2013 13:28:00;0.09
7462;10.01.2013 13:42:00;0.09
7464;10.01.2013 13:44:00;0.09
7470;10.01.2013 13:50:00;0.08
7480;10.01.2013 14:00:00;0.08
7562;10.01.2013 15:22:00;0.08
7594;10.01.2013 15:54:00;0.08
7617;10.01.2013 16:17:00;0.09
7630;10.01.2013 16:30:00;0.09
7631;10.01.2013 16:31:00;0.08
7633;10.01.2013 16:33:00;0.08
7635;10.01.2013 16:35:00;0.09
7639;10.01.2013 16:39:00;0.09
7646;10.01.2013 16:46:00;0.09
7649;10.01.2013 16:49:00;0.09
7650;10.01.2013 16:50:00;0.09
7653;10.01.2013 16:53:00;0.09
7658;10.01.2013 16:58:00;0.1
7661;10.01.2013 17:01:00;0.1
7668;10.01.2013 17:08:00;0.09
7680;10.01.2013 17:20:00;0.09
7694;10.01.2013 17:34:00;0.08
7696;10.01.2013 17:36:00;0.09
7697;10.01.2013 17:37:00;0.09
7698;10.01.2013 17:38:00;0.09
7700;10.01.2013 17:40:00;0.09
7703;10.01.2013 17:43:00;0.06
7785;10.01.2013 19:05:00;0.07
7818;10.01.2013 19:38:00;0.07
7839;10.01.2013 19:59:00;0.07
7845;10.01.2013 20:05:00;0.07
7851;10.01.2013 20:11:00;0.06
7882;10.01.2013 20:42:00;0.06
7920;10.01.2013 21:20:00;0.06
7930;10.01.2013 21:30:00;0.06
7931;10.01.2013 21:31:00;0.06
7951;10.01.2013 21:51:00;0.05
8034;10.01.2013 23:14:00;0.06
8051;10.01.2013 23:31:00;0.07
8066;10.01.2013 23:46:00;0.08
8068;10.01.2013 23:48:00;0.09
8094;11.01.2013 10:24:00;0.1
8095;11.01.2013 10:25:00;0.1
8096;11.01.2013 10:26:00;0.14
8103;11.01.2013 10:33:00;0.18
8106;11.01.2013 10:36:00;0.22
8108;11.01.2013 10:38:00;0.26
8109;11.01.2013 10:39:00;0.3
8116;11.01.2013 10:46:00;0.33
8120;11.01.2013 10:50:00;0.4
8129;11.01.2013 10:59:00;0.43
8134;11.01.2013 11:04:00;0.46
8150;11.01.2013 11:20:00;0.46
8178;11.01.2013 11:48:00;0.47
8180;11.01.2013 11:50:00;0.47
8185;11.01.2013 11:55:00;0.47
8227;11.01.2013 12:37:00;0.46
8231;11.01.2013 12:41:00;0.46
8234;11.01.2013 12:44:00;0.45
8245;11.01.2013 12:55:00;0.46
8246;11.01.2013 12:56:00;0.46
8254;11.01.2013 13:04:00;0.46
8268;11.01.2013 13:18:00;0.46
8270;11.01.2013 13:20:00;0.46
8283;11.01.2013 13:33:00;0.45
8284;11.01.2013 13:34:00;0.45
8296;11.01.2013 13:46:00;0.46
8297;11.01.2013 13:47:00;0.46
8299;11.01.2013 13:49:00;0.46
8303;11.01.2013 13:53:00;0.45
8319;11.01.2013 14:09:00;0.44
8388;11.01.2013 15:18:00;0.45
8431;11.01.2013 16:01:00;0.45
8469;11.01.2013 16:39:00;0.45
8474;11.01.2013 16:44:00;0.45
8482;11.01.2013 16:52:00;0.45
8489;11.01.2013 16:59:00;0.45
8506;11.01.2013 17:16:00;0.44
8507;11.01.2013 17:17:00;0.45
8513;11.01.2013 17:23:00;0.46
8525;11.01.2013 17:35:00;0.45
8566;11.01.2013 18:16:00;0.45
8578;11.01.2013 18:28:00;0.45
8581;11.01.2013 18:31:00;0.44
8586;11.01.2013 18:36:00;0.44
8591;11.01.2013 18:41:00;0.43
8593;11.01.2013 18:43:00;0.44
8611;11.01.2013 19:01:00;0.43
8613;11.01.2013 19:03:00;0.43
8626;11.01.2013 19:16:00;0.4
8636;11.01.2013 19:26:00;0.37
8637;11.01.2013 19:27:00;0.34
8645;11.01.2013 19:35:00;0.32
8699;11.01.2013 20:29:00;0.33
8737;11.01.2013 21:07:00;0.34
8757;11.01.2013 21:27:00;0.34
8773;11.01.2013 21:43:00;0.33
8775;11.01.2013 21:45:00;0.33
8781;11.01.2013 21:51:00;0.32
8790;11.01.2013 22:00:00;0.31
8805;11.01.2013 22:15:00;0.3
8806;11.01.2013 22:16:00;0.31
8809;11.01.2013 22:19:00;0.31
8811;11.01.2013 22:21:00;0.31
8814;11.01.2013 22:24:00;0.31
8815;11.01.2013 22:25:00;0.31
8816;11.01.2013 22:26:00;0.31
8840;11.01.2013 22:50:00;0.31
8842;11.01.2013 22:52:00;0.31
8849;11.01.2013 22:59:00;0.3
8851;11.01.2013 23:01:00;0.31
8859;11.01.2013 23:09:00;0.31
8863;11.01.2013 23:13:00;0.31
8866;11.01.2013 23:16:00;0.31
8868;11.01.2013 23:18:00;0.31
8871;11.01.2013 23:21:00;0.31
8875;11.01.2013 23:25:00;0.31
8876;11.01.2013 23:26:00;0.3
8891;11.01.2013 23:41:00;0.3
8896;11.01.2013 23:46:00;0.3
8899;11.01.2013 23:49:00;0.31
8901;14.01.2013 10:01:00;0.3
8902;14.01.2013 10:02:00;0.29
8903;14.01.2013 10:03:00;0.29
8911;14.01.2013 10:11:00;0.29
8944;14.01.2013 10:44:00;0.28
9026;14.01.2013 12:06:00;0.29
9028;14.01.2013 12:08:00;0.29
9079;14.01.2013 12:59:00;0.3
9092;14.01.2013 13:12:00;0.31
9109;14.01.2013 13:29:00;0.31
9118;14.01.2013 13:38:00;0.3
9121;14.01.2013 13:41:00;0.29
9125;14.01.2013 13:45:00;0.29
9126;14.01.2013 13:46:00;0.29
9128;14.01.2013 13:48:00;0.29
9130;14.01.2013 13:50:00;0.29
9133;14.01.2013 13:53:00;0.28
9134;14.01.2013 13:54:00;0.28
9197;14.01.2013 14:57:00;0.28
9204;14.01.2013 15:04:00;0.29
9208;14.01.2013 15:08:00;0.29
9210;14.01.2013 15:10:00;0.29
9220;14.01.2013 15:20:00;0.3
9242;14.01.2013 15:42:00;0.32
9266;14.01.2013 16:06:00;0.32
9279;14.01.2013 16:19:00;0.33
9295;14.01.2013 16:35:00;0.34
9301;14.01.2013 16:41:00;0.34
9302;14.01.2013 16:42:00;0.34
9303;14.01.2013 16:43:00;0.34
9317;14.01.2013 16:57:00;0.35
9340;14.01.2013 17:20:00;0.36
9352;14.01.2013 17:32:00;0.35
9358;14.01.2013 17:38:00;0.35
9377;14.01.2013 17:57:00;0.36
9396;14.01.2013 18:16:00;0.36
9405;14.01.2013 18:25:00;0.36
9410;14.01.2013 18:30:00;0.37
9414;14.01.2013 18:34:00;0.36
9455;14.01.2013 19:15:00;0.36
9494;14.01.2013 19:54:00;0.36
9512;14.01.2013 20:12:00;0.36
9548;14.01.2013 20:48:00;0.36
9558;14.01.2013 20:58:00;0.37
9563;14.01.2013 21:03:00;0.36
9564;14.01.2013 21:04:00;0.36
9565;14.01.2013 21:05:00;0.36
9570;14.01.2013 21:10:00;0.36
9580;14.01.2013 21:20:00;0.36
9596;14.01.2013 21:36:00;0.36
9606;14.01.2013 21:46:00;0.36
9613;14.01.2013 21:53:00;0.36
9615;14.01.2013 21:55:00;0.36
9621;14.01.2013 22:01:00;0.36
9646;14.01.2013 22:26:00;0.36
9652;14.01.2013 22:32:00;0.36
9654;14.01.2013 22:34:00;0.36
9657;14.01.2013 22:37:00;0.37
9674;14.01.2013 22:54:00;0.37
9714;14.01.2013 23:34:00;0.37
9735;15.01.2013 10:05:00;0.36
9749;15.01.2013 10:19:00;0.36
9755;15.01.2013 10:25:00;0.35
9766;15.01.2013 10:36:00;0.35
9772;15.01.2013 10:42:00;0.35
9783;15.01.2013 10:53:00;0.35
9792;15.01.2013 11:02:00;0.35
9797;15.01.2013 11:07:00;0.35
9799;15.01.2013 11:09:00;0.35
9802;15.01.2013 11:12:00;0.34
9814;15.01.2013 11:24:00;0.33
9820;15.01.2013 11:30:00;0.33
9822;15.01.2013 11:32:00;0.33
9826;15.01.2013 11:36:00;0.33
9832;15.01.2013 11:42:00;0.33
9835;15.01.2013 11:45:00;0.32
9843;15.01.2013 11:53:00;0.32
9848;15.01.2013 11:58:00;0.32
9852;15.01.2013 12:02:00;0.31
9856;15.01.2013 12:06:00;0.26
9864;15.01.2013 12:14:00;0.26
9869;15.01.2013 12:19:00;0.24
9872;15.01.2013 12:22:00;0.23
9876;15.01.2013 12:26:00;0.21
9893;15.01.2013 12:43:00;0.19
9947;15.01.2013 13:37:00;0.21
9998;15.01.2013 14:28:00;0.21
10027;15.01.2013 14:57:00;0.22
10051;15.01.2013 15:21:00;0.22
10053;15.01.2013 15:23:00;0.22
10058;15.01.2013 15:28:00;0.21
10068;15.01.2013 15:38:00;0.22
10093;15.01.2013 16:03:00;0.23
10097;15.01.2013 16:07:00;0.22
10103;15.01.2013 16:13:00;0.21
10109;15.01.2013 16:19:00;0.18
10117;15.01.2013 16:27:00;0.16
10118;15.01.2013 16:28:00;0.15
10119;15.01.2013 16:29:00;0.11
10159;15.01.2013 17:09:00;0.13
10182;15.01.2013 17:32:00;0.15
10208;15.01.2013 17:58:00;0.16
10230;15.01.2013 18:20:00;0.16
10281;15.01.2013 19:11:00;0.17
10303;15.01.2013 19:33:00;0.17
10329;15.01.2013 19:59:00;0.18
10351;15.01.2013 20:21:00;0.17
10366;15.01.2013 20:36:00;0.17
10380;15.01.2013 20:50:00;0.17
10381;15.01.2013 20:51:00;0.17
10405;15.01.2013 21:15:00;0.17
10407;15.01.2013 21:17:00;0.17
10419;15.01.2013 21:29:00;0.17
10423;15.01.2013 21:33:00;0.17
10424;15.01.2013 21:34:00;0.17
10431;15.01.2013 21:41:00;0.18
10435;15.01.2013 21:45:00;0.18
10436;15.01.2013 21:46:00;0.18
10441;15.01.2013 21:51:00;0.18
10444;15.01.2013 21:54:00;0.18
10452;15.01.2013 22:02:00;0.18
10453;15.01.2013 22:03:00;0.18
10465;15.01.2013 22:15:00;0.17
10467;15.01.2013 22:17:00;0.17
10471;15.01.2013 22:21:00;0.17
10479;15.01.2013 22:29:00;0.18
10488;15.01.2013 22:38:00;0.18
10503;15.01.2013 22:53:00;0.14
10504;15.01.2013 22:54:00;0.13
10507;15.01.2013 22:57:00;0.12
10508;15.01.2013 22:58:00;0.1
10509;15.01.2013 22:59:00;0.09
10590;16.01.2013 10:30:00;0.09
10617;16.01.2013 10:57:00;0.09
10652;16.01.2013 11:32:00;0.09
10670;16.01.2013 11:50:00;0.08
10694;16.01.2013 12:14:00;0.09
10721;16.01.2013 12:41:00;0.09
10769;16.01.2013 13:29:00;0.09
10797;16.01.2013 13:57:00;0.1
10798;16.01.2013 13:58:00;0.11
10818;16.01.2013 14:18:00;0.11
10819;16.01.2013 14:19:00;0.11
10831;16.01.2013 14:31:00;0.11
10859;16.01.2013 14:59:00;0.11
10869;16.01.2013 15:09:00;0.12
10872;16.01.2013 15:12:00;0.13
10878;16.01.2013 15:18:00;0.15
10879;16.01.2013 15:19:00;0.16
10886;16.01.2013 15:26:00;0.16
10912;16.01.2013 15:52:00;0.17
10919;16.01.2013 15:59:00;0.18
10927;16.01.2013 16:07:00;0.15
10928;16.01.2013 16:08:00;0.14
10936;16.01.2013 16:16:00;0.12
10942;16.01.2013 16:22:00;0.1
10962;16.01.2013 16:42:00;0.1
10966;16.01.2013 16:46:00;0.09
10968;16.01.2013 16:48:00;0.07
10971;16.01.2013 16:51:00;0.06
10979;16.01.2013 16:59:00;0.04
11010;16.01.2013 17:30:00;0.06
11052;16.01.2013 18:12:00;0.06
11067;16.01.2013 18:27:00;0.06
11070;16.01.2013 18:30:00;0.03
11073;16.01.2013 18:33:00;0.02
11104;16.01.2013 19:04:00;0.01
11112;16.01.2013 19:12:00;0.0
11118;16.01.2013 19:18:00;0.0
11119;16.01.2013 19:19:00;-0.01
11130;16.01.2013 19:30:00;0.0
11131;16.01.2013 19:31:00;0.0
11235;16.01.2013 21:15:00;0.04
11253;16.01.2013 21:33:00;0.05
11300;16.01.2013 22:20:00;0.06
11311;16.01.2013 22:31:00;0.06
11336;16.01.2013 22:56:00;0.06
11352;16.01.2013 23:12:00;0.06
11388;16.01.2013 23:48:00;0.06
11391;17.01.2013 10:01:00;0.06
11392;17.01.2013 10:02:00;0.05
11402;17.01.2013 10:12:00;0.06
11415;17.01.2013 10:25:00;0.06
11416;17.01.2013 10:26:00;0.06
11428;17.01.2013 10:38:00;0.07
11452;17.01.2013 11:02:00;0.07
11454;17.01.2013 11:04:00;0.06
11460;17.01.2013 11:10:00;0.06
11469;17.01.2013 11:19:00;0.05
11479;17.01.2013 11:29:00;0.05
11513;17.01.2013 12:03:00;0.04
11537;17.01.2013 12:27:00;0.03
11544;17.01.2013 12:34:00;0.02
11553;17.01.2013 12:43:00;0.0
11590;17.01.2013 13:20:00;0.01
11620;17.01.2013 13:50:00;0.01
11639;17.01.2013 14:09:00;0.0
11642;17.01.2013 14:12:00;0.01
11643;17.01.2013 14:13:00;0.01
11644;17.01.2013 14:14:00;0.01
11647;17.01.2013 14:17:00;0.02
11672;17.01.2013 14:42:00;0.0
11674;17.01.2013 14:44:00;-0.01
11760;17.01.2013 16:10:00;-0.01
11792;17.01.2013 16:42:00;-0.01
11816;17.01.2013 17:06:00;0.0
11824;17.01.2013 17:14:00;0.01
11847;17.01.2013 17:37:00;0.01
11850;17.01.2013 17:40:00;0.02
11858;17.01.2013 17:48:00;0.01
11865;17.01.2013 17:55:00;0.0
11869;17.01.2013 17:59:00;0.0
11870;17.01.2013 18:00:00;0.01
11871;17.01.2013 18:01:00;0.01
11876;17.01.2013 18:06:00;0.01
11902;17.01.2013 18:32:00;0.01
11908;17.01.2013 18:38:00;0.0
11914;17.01.2013 18:44:00;0.01
11915;17.01.2013 18:45:00;0.04
11944;17.01.2013 19:14:00;0.04
11949;17.01.2013 19:19:00;0.02
11950;17.01.2013 19:20:00;0.02
11980;17.01.2013 19:50:00;0.02
11998;17.01.2013 20:08:00;0.01
12013;17.01.2013 20:23:00;0.01
12019;17.01.2013 20:29:00;0.01
12020;17.01.2013 20:30:00;0.01
12021;17.01.2013 20:31:00;0.01
12030;17.01.2013 20:40:00;0.0
12035;17.01.2013 20:45:00;0.0
12045;17.01.2013 20:55:00;-0.01
12053;17.01.2013 21:03:00;-0.01
12064;17.01.2013 21:14:00;-0.01
12076;17.01.2013 21:26:00;-0.01
12080;17.01.2013 21:30:00;-0.01
12083;17.01.2013 21:33:00;-0.02
12086;17.01.2013 21:36:00;-0.03
12089;17.01.2013 21:39:00;-0.04
12252;18.01.2013 10:32:00;-0.03
12260;18.01.2013 10:40:00;-0.02
12264;18.01.2013 10:44:00;-0.02
12266;18.01.2013 10:46:00;-0.01
12267;18.01.2013 10:47:00;-0.01
12273;18.01.2013 10:53:00;-0.01
12317;18.01.2013 11:37:00;0.0
12319;18.01.2013 11:39:00;0.0
12321;18.01.2013 11:41:00;0.0
12330;18.01.2013 11:50:00;-0.03
12343;18.01.2013 12:03:00;-0.04
12347;18.01.2013 12:07:00;-0.04
12350;18.01.2013 12:10:00;-0.05
12353;18.01.2013 12:13:00;-0.05
12363;18.01.2013 12:23:00;-0.06
12364;18.01.2013 12:24:00;-0.05
12374;18.01.2013 12:34:00;-0.05
12397;18.01.2013 12:57:00;-0.05
12401;18.01.2013 13:01:00;-0.02
12403;18.01.2013 13:03:00;0.01
12405;18.01.2013 13:05:00;0.02
12406;18.01.2013 13:06:00;0.04
12415;18.01.2013 13:15:00;0.05
12416;18.01.2013 13:16:00;0.07
12472;18.01.2013 14:12:00;0.08
12488;18.01.2013 14:28:00;0.09
12504;18.01.2013 14:44:00;0.08
12511;18.01.2013 14:51:00;0.08
12529;18.01.2013 15:09:00;0.09
12535;18.01.2013 15:15:00;0.09
12549;18.01.2013 15:29:00;0.09
12551;18.01.2013 15:31:00;0.09
12556;18.01.2013 15:36:00;0.08
12562;18.01.2013 15:42:00;0.08
12568;18.01.2013 15:48:00;0.07
12592;18.01.2013 16:12:00;0.07
12610;18.01.2013 16:30:00;0.07
12614;18.01.2013 16:34:00;0.06
12625;18.01.2013 16:45:00;0.06
12639;18.01.2013 16:59:00;0.05
12664;18.01.2013 17:24:00;0.05
12670;18.01.2013 17:30:00;0.05
12671;18.01.2013 17:31:00;0.05
12690;18.01.2013 17:50:00;0.05
12692;18.01.2013 17:52:00;0.05
12702;18.01.2013 18:02:00;0.05
12704;18.01.2013 18:04:00;0.05
12705;18.01.2013 18:05:00;0.05
12726;18.01.2013 18:26:00;0.05
12727;18.01.2013 18:27:00;0.05
12733;18.01.2013 18:33:00;0.04
12765;18.01.2013 19:05:00;0.03
12768;18.01.2013 19:08:00;0.04
12774;18.01.2013 19:14:00;0.05
12776;18.01.2013 19:16:00;0.05
12786;18.01.2013 19:26:00;0.04
12797;18.01.2013 19:37:00;0.05
12809;18.01.2013 19:49:00;0.05
12823;18.01.2013 20:03:00;0.01
12824;18.01.2013 20:04:00;0.01
12826;18.01.2013 20:06:00;-0.01
12831;18.01.2013 20:11:00;-0.01
12880;18.01.2013 21:00:00;-0.02
12881;18.01.2013 21:01:00;-0.03
12883;18.01.2013 21:03:00;-0.03
12885;18.01.2013 21:05:00;-0.04
12895;18.01.2013 21:15:00;-0.05
12903;18.01.2013 21:23:00;-0.05
12905;18.01.2013 21:25:00;-0.05
12907;18.01.2013 21:27:00;-0.05
12912;18.01.2013 21:32:00;-0.06
12923;18.01.2013 21:43:00;-0.06
12930;18.01.2013 21:50:00;-0.06
12931;18.01.2013 21:51:00;-0.06
12932;18.01.2013 21:52:00;-0.06
12943;18.01.2013 22:03:00;-0.06
12945;18.01.2013 22:05:00;-0.07
12957;18.01.2013 22:17:00;-0.06
12973;18.01.2013 22:33:00;-0.06
12975;18.01.2013 22:35:00;-0.06
12989;18.01.2013 22:49:00;-0.06
12992;18.01.2013 22:52:00;-0.06
12996;18.01.2013 22:56:00;-0.07
12998;18.01.2013 22:58:00;-0.06
13010;18.01.2013 23:10:00;-0.06
13020;18.01.2013 23:20:00;-0.06
13021;18.01.2013 23:21:00;-0.06
13022;18.01.2013 23:22:00;-0.06
13043;18.01.2013 23:43:00;-0.07
13049;18.01.2013 23:49:00;-0.07
13051;21.01.2013 10:01:00;-0.08
13054;21.01.2013 10:04:00;-0.08
13055;21.01.2013 10:05:00;-0.08
13056;21.01.2013 10:06:00;-0.08
13060;21.01.2013 10:10:00;-0.09
13074;21.01.2013 10:24:00;-0.1
13081;21.01.2013 10:31:00;-0.1
13083;21.01.2013 10:33:00;-0.1
13093;21.01.2013 10:43:00;-0.1
13095;21.01.2013 10:45:00;-0.11
13099;21.01.2013 10:49:00;-0.12
13104;21.01.2013 10:54:00;-0.13
13121;21.01.2013 11:11:00;-0.13
13138;21.01.2013 11:28:00;-0.14
13140;21.01.2013 11:30:00;-0.14
13142;21.01.2013 11:32:00;-0.14
13147;21.01.2013 11:37:00;-0.15
13148;21.01.2013 11:38:00;-0.15
13149;21.01.2013 11:39:00;-0.15
13150;21.01.2013 11:40:00;-0.15
13156;21.01.2013 11:46:00;-0.15
13158;21.01.2013 11:48:00;-0.15
13159;21.01.2013 11:49:00;-0.15
13161;21.01.2013 11:51:00;-0.15
13163;21.01.2013 11:53:00;-0.15
13167;21.01.2013 11:57:00;-0.16
13171;21.01.2013 12:01:00;-0.16
13173;21.01.2013 12:03:00;-0.16
13191;21.01.2013 12:21:00;-0.16
13193;21.01.2013 12:23:00;-0.16
13194;21.01.2013 12:24:00;-0.16
13203;21.01.2013 12:33:00;-0.17
13207;21.01.2013 12:37:00;-0.17
13212;21.01.2013 12:42:00;-0.17
13218;21.01.2013 12:48:00;-0.17
13220;21.01.2013 12:50:00;-0.18
13222;21.01.2013 12:52:00;-0.18
13225;21.01.2013 12:55:00;-0.18
13237;21.01.2013 13:07:00;-0.19
13253;21.01.2013 13:23:00;-0.19
13257;21.01.2013 13:27:00;-0.19
13264;21.01.2013 13:34:00;-0.19
13266;21.01.2013 13:36:00;-0.19
13272;21.01.2013 13:42:00;-0.19
13274;21.01.2013 13:44:00;-0.19
13279;21.01.2013 13:49:00;-0.19
13302;21.01.2013 14:12:00;-0.19
13303;21.01.2013 14:13:00;-0.19
13304;21.01.2013 14:14:00;-0.19
13305;21.01.2013 14:15:00;-0.19
13306;21.01.2013 14:16:00;-0.19
13310;21.01.2013 14:20:00;-0.19
13313;21.01.2013 14:23:00;-0.2
13320;21.01.2013 14:30:00;-0.2
13343;21.01.2013 14:53:00;-0.21
13352;21.01.2013 15:02:00;-0.21
13358;21.01.2013 15:08:00;-0.21
13381;21.01.2013 15:31:00;-0.22
13390;21.01.2013 15:40:00;-0.22
13402;21.01.2013 15:52:00;-0.22
13470;21.01.2013 17:00:00;-0.21
13471;21.01.2013 17:01:00;-0.21
13477;21.01.2013 17:07:00;-0.21
13479;21.01.2013 17:09:00;-0.21
13481;21.01.2013 17:11:00;-0.22
13485;21.01.2013 17:15:00;-0.22
13488;21.01.2013 17:18:00;-0.22
13510;21.01.2013 17:40:00;-0.22
13541;21.01.2013 18:11:00;-0.21
13560;21.01.2013 18:30:00;-0.21
13600;21.01.2013 19:10:00;-0.2
13634;21.01.2013 19:44:00;-0.2
13635;21.01.2013 19:45:00;-0.2
13640;21.01.2013 19:50:00;-0.2
13685;21.01.2013 20:35:00;-0.2
13695;21.01.2013 20:45:00;-0.2
13703;21.01.2013 20:53:00;-0.2
13710;21.01.2013 21:00:00;-0.19
13717;21.01.2013 21:07:00;-0.19
13723;21.01.2013 21:13:00;-0.2
13726;21.01.2013 21:16:00;-0.19
13771;21.01.2013 22:01:00;-0.19
13775;21.01.2013 22:05:00;-0.19
13780;21.01.2013 22:10:00;-0.19
13800;21.01.2013 22:30:00;-0.19
13805;21.01.2013 22:35:00;-0.19
13809;21.01.2013 22:39:00;-0.19
13821;21.01.2013 22:51:00;-0.19
13829;21.01.2013 22:59:00;-0.19
13867;21.01.2013 23:37:00;-0.19
13874;21.01.2013 23:44:00;-0.19
13881;22.01.2013 10:01:00;-0.23
13882;22.01.2013 10:02:00;-0.25
13883;22.01.2013 10:03:00;-0.26
13978;22.01.2013 11:38:00;-0.25
14018;22.01.2013 12:18:00;-0.23
14037;22.01.2013 12:37:00;-0.23
14051;22.01.2013 12:51:00;-0.22
14060;22.01.2013 13:00:00;-0.23
14065;22.01.2013 13:05:00;-0.24
14066;22.01.2013 13:06:00;-0.25
14067;22.01.2013 13:07:00;-0.25
14069;22.01.2013 13:09:00;-0.26
14071;22.01.2013 13:11:00;-0.25
14073;22.01.2013 13:13:00;-0.24
14077;22.01.2013 13:17:00;-0.24
14102;22.01.2013 13:42:00;-0.23
14126;22.01.2013 14:06:00;-0.24
14129;22.01.2013 14:09:00;-0.24
14132;22.01.2013 14:12:00;-0.25
14134;22.01.2013 14:14:00;-0.26
14135;22.01.2013 14:15:00;-0.25
14137;22.01.2013 14:17:00;-0.26
14166;22.01.2013 14:46:00;-0.25
14178;22.01.2013 14:58:00;-0.26
14186;22.01.2013 15:06:00;-0.28
14191;22.01.2013 15:11:00;-0.28
14192;22.01.2013 15:12:00;-0.28
